original_index,content,clean_final,pred_topic
8502,"Tolong hoyo buat hsr cloud, hp saya tidak kuat bermain game ini.",hoyo hsr cloud kuat main,-1
8504,"kami sayang mihoyo, mihoyo sayang kami 😋😋😋",sayang mihoyo mihoyo sayang,-1
8505,Ini game terbaik yg pernah aku mainkan tapi tolong misi utamanya diperpanjang dong🙏pliss... Masih ketagihan aku masa misi utama nya udah selesai🙏.. Pliss misi utama nya dong dan tambah juga klo boleh bikin karakter utama nya boleh di tambah mode azura gk atau buat karakter azura nya pasti lebih badas habis game nya😁.. Aku tunggu yah updatenya 🙏😁... Buat pencipta game semangat buat game nya💪sukses selalu🙏,baik main misi utama panjang tagih misi utama selesai misi utama karakter utama mode azura karakter azura badas habis tunggu yah updatenya cipta sukses,10
8506,"Overall the best game yang yahh masih better dimainkan di berbagai platform, gw cukup suka nih game karena walaupun hp gw udah cukup kentang tapi nih game masih cukup nampung+bisa full rata kanan+hd.. kalau masih bisa nambah bintang mungkin 9.5/10 yah walaupun masih ada minusnya kyk dibagian story dan bug",overall yahh better main platform suka nih kentang nih nampung full kanan hd nambah bintang yah minus bagi story bug,-1
8510,"Ceritanya lama,ga bisa Diskip",cerita skip,-1
8511,"Hello hoyoverse! Tolong adakan fitur untuk menghapus data sebelumnya, karena penyimpanan sekarang sudah terlalu besar. Saya berharap kalian segera mengadakan fitur tersebut secepatnya. Terima kasih!!",hello adakan fitur hapus data simpan harap ada fitur cepat,3
8512,Terpaksa gw hapus Soalnya loadingnya lama wifi lancar² aja Sinyal baik² aja tp kok lama amat loadingnya nyesel gw downloadnya,paksa hapus loadingnya wifi lancar sinyal tp loadingnya nyesel downloadnya,-1
8513,Spam,spam,-1
8514,"tolong tambahkan pilihan ""hapus data terdahulu"" seperti genshin, biar sekiranya ukuran ni game tidak membengkak",tambah pilih hapus data genshin biar ukur bengkak,3
8515,Terlalu besar untuk android sediakan fitur hapus data seperti di Genshin,android sedia fitur hapus data genshin,3
8516,"Jalan cerita bagus & menarik, gameplay santai & gak terlalu sulit, yang terpenting gk pelit bansos, dan juga saya main di HP POCO X6 Pro lancar bgt + suhu adem padahal grafik high😊 sangat nyaman & enjoyable untuk dimainkan",jalan cerita tarik santai sulit penting pelit bansos poco x pro lancar suhu adem grafik high nyaman enjoyable main,-1
8518,"Saya sangat mencintai game ini, Dari awal kemunculannya saya sudah mainkan menggunakan perangkay tablet ini, says benar-benar sayang game yang sudah menemani rasa bosan saya. Namun penyimpanan perangkat ini sudah hampir penuh dan saya sedang membangun karir youtube, saya tidak punya pilihan lain selain menghapus game ini demi bisa melanjutkan pembangunan karir yang ingin saya kejar. Terima Kasih Honkai Star Rail ❤",cinta muncul main perangkay tablet says sayang tani bosan simpan perangkat penuh bangun karir youtube pilih hapus lanjut bangun karir kejar honkai star rail,-1
8519,"kalo buat game overall semua udh bagus, tapi kalo gacha gua selalu hard pity ga pernah dpt char yg gua incer soft pity, bahkan kalo misalnya kalah rate off gua juga dptnya di sekitar pity 60-80. agak ngecewain si disitu sebenernya",overall gacha hard pity char incer soft pity kalah rate dptnya pity ngecewain situ,-1
8521,"Tetep Fate Grand Order turn base rpg terbaik menurut saya, karena walaupun pelit pity, tapi itu game gak berat di hp, walaupun hp udah mumpuni banget buat nampung sebiji star rail doang 😴",tetep fate grand order turn base rpg baik pelit pity berat mumpuni nampung biji star rail doang,-1
8523,Umur panjang gane baik,umur gane,-1
8524,Ini gmn ini sudah 2 hari mau login loading nya malah error,login loading error,14
8525,"Hoyo berbaik hatilah aku adalah player f2p dan sudah menabung 100 pull lebih dan habis karena mendapat Clara, pliss berikan aku char limited di pity rendahh😭",hoyo baik hati player f p tabung pull habis clara char limited pity rendahh,-1
8526,AAAAAAAAAA banyak waipu men,aaaaaaaaaa waipu men,4
8527,Skip Story Is Helpful. I want play game not story....!!!,skip story helpful want story,0
8528,Unduh data di awal game terlalu besar...23GB,unduh data gb,28
8529,"Sehat sehat game baik, Terima kasih bansosnya game baik panjang umur game baik. Kami sayang Hoyo, Hoyo sayang kami 🥰❤❤",bansosnya umur sayang hoyo hoyo sayang,-1
8530,"dari awal buka akun, pernah top di game honkai starrail, GA PERNAH WIN 50/50, seampas-ampasnya akun player, ADA GA 10x LOSE 50/50,, alhasil SANGAT KECEWA dan UNINSTAL game ini,,",buka akun top honkai starrail win ampas ampas akun player x lose alhasil kecewa uninstal,-1
8531,Kok sering eror masuk game,eror masuk,34
8535,"thanks developer semoga terus konsisten trs buat adain event"" buat player f2p",developer moga konsisten adakan event player f p,-1
8536,Loadingnya lama 2gban lama Takut data abiss nunggu sejam deh kayaknya,loadingnya gban takut data abiss tunggu jam deh kayak,-1
8537,Gamenya sudah bagus selama ini tapi menurutku tolong lah karakter utama kita adakan untuk berganti pakaian dan bisa mengedit rambut atau sebagainya dan aku sudah merasa bosen dengan karakter utamaku karena pakaiannya itu itu saja. Saya berharap update selanjutnya di adakan ngedit body dan kostume pakaian supaya semakin menarik gamenya,turut karakter utama adakan ganti pakai edit rambut bosan karakter utama pakai harap update adakan ngedit body kostume pakai tarik,-1
8538,permudahkan lagi material buat up relic🥱,mudah material relic,-1
8539,Saya Tidak bisa Log in Selalu Black screen Atau Stuck di Bagian Kereta Game Ini Penuh Bug,log black screen stuck kereta penuh bug,-1
8540,Kenapa sekarang gak bisa di HP Android,android,-1
8541,Bagus semoga bansos lancar,moga bansos lancar,-1
8542,gokill bgtt inii woyy,gokill ini woyy,16
8543,Untuk gameplay dan alur cerita nya bagus banget,alur cerita,12
8544,Baru mau donload datanya gede bnge smpek 20gb,donload data gede bnge smpek gb,-1
8545,BAGUS BANGET POKONYA MAH,poko mah,-1
8546,"Gak bisa log in,penuh dengan bug buang"" dat ajha download ni game huffffff",log penuh bug buang dat ajha download huffffff,-1
8547,"grafik bagus, Masuknya lama kelamaan parah kebuu bt",grafik masuk parah kebuu bt,-1
8548,Untuk para kaum f2p permain saya dapat info dari yang penting sampaikan terutama kaum f2p permain sendiri jika terjadi error login bisa hilang golden ticket anda dan di gunakan di banner standar dengan demikian sebagai kaum permain lama saya merasa kecewa sekali pada tim keamanan akun permain honkai star rail apalagi itu di bedakan ticket golden dan silver untuk apa coba,kaum f p main info kaum f p main error login hilang golden ticket banner standar kaum main kecewa tim aman akun main honkai star rail beda ticket golden silver coba,-1
8549,"HOYO PLIS KASIH AK SPARKLE PLIS HOYOOOOOOOOO HUHU, EMG KAMU TEGA LIAT PLAYERMU YG BAIK HATI RAJIN MENABUNG INI MENAGIEZ?😢🥺🥺🥺🥺🥺",hoyo sparkle hoyooooooooo huhu tega lihat playermu hati rajin tabung menagiez,-1
8550,Geme taek,taek,23
8552,Banyakin chara laki nya please :(,banyak chara laki,37
8553,"kenapa musik pada ultimate robin dipotong dan juga di tiadakan padahal itu sangat bagus,kalo bisa ditambahkan seperti semula",musik ultimate robin potong tiada,-1
8554,Lodinnng ngya lama,lodinnng ngya,-1
8555,Because honkai star rail is my favorite number 1 favorite video games of course 🥰😍😇🤩😘🤑💝💖💗💓💞💘💕❤️🩷💯😻🎆🎇🎊🎉🎈✨️🎁🎫🎖🏆🏅🥇♥️🎂🍰🧁🍪🍩🍨🍧🍦🥡🥠🥟🍜🥃🍽🥂🍻🍺🍹🍶🍾🪩🪅,honkai star rail favorite number favorite video games course,7
8557,Bagus tapi size gila tidah ramah hp kentang,size gila tidah ramah kentang,17
8558,"Min, sebagai orang yang download resource ketika tidur malam, saya mau minta nih, buat download resource itu ada persetujuan buat langsung download semua resource, biar abis selesai download 2gb awal itu langsung download yang full download.",orang download resource tidur malam nih download resource tuju langsung download resource biar abis selesai download gb langsung download full download,-1
8559,"terlalu bagus carakter"" nya gmplay nya asik mkin lama mnntang",carakter gmplay asik mkin mnntang,-1
8560,Ywdh sih,ywdh,4
8561,"Aku emang kurang suka game role play kyk gini..., cuma karena katanya bagus aku jadi mau coba",suka role gin coba,18
8562,Gameplay nya bagus meski turn base + gamenya baik bener gak Kikir sama sekali kaya sebelah,turn base bener kikir kaya belah,-1
8563,Benerin tuh login error' Mulu main kalo pake data pas login mentok gak mau masuk dari dulu kek gini belum difix,benerin tuh login error mulu pake data login mentok masuk gin difix,1
8564,"Kui kira game ini sistem gacanya lebih baik dari gensin impact ternyata sama2 sampah 2x gaca di bener sparkel kalah 50:50 semua Mana hard PT semua lagi, dulu PT 79 sekarang PT 87 Emang pada dasarnya dploper nya kikir ga di game gensin doang yg kikir Kebanyakan game yg dploper dari China semua kikir",kui sistem gacanya gensin impact sampah x gaca bener sparkel kalah hard pt pt pt dasar dploper kikir gensin doang kikir banyak dploper china kikir,-1
8565,"game bagus,ga kayak ml ga ada dark sistem",ml dark sistem,-1
8566,perlu hsr cloud nih😂,hsr cloud nih,-1
8567,cuz i got my bby jiaoqiu,cuz got bby jiaoqiu,-1
8568,Gacor terus kang mantap,gacor kang,-1
8569,seru karakter bintang limanya bagus,karakter bintang lima,-1
8570,"Game pelit gacha, kurang ramah buat F2P",pelit gacha ramah f p,-1
8571,AKU CINTA BLACK SWAN,cinta black swan,-1
8572,bagus banget!! recommended sekali buat yg suka game RPG grafiknya bagus seperti biasanya character juga cantik strory nya seru cuma di xianzhou agak ngebosenin tapi di penacony dijamin seru banget di tambah sound dari map nya juga epic banget dengernya apalagi di map penacony di dream's edge sama golden hour,recommended suka rpg grafik character cantik strory xianzhou ngebosenin penacony jamin sound map epic dengernya map penacony dream edge golden hour,-1
8573,Jancokkkkkk gak bisa ganti email,jancokkkkkk ganti email,-1
8574,Suka gak ke render padahal udah grafik paling rendah,suka render grafik rendah,-1
8575,"Bagus,.. bagus banget gua suka bgt game"" yang bertema story dan bermodel turn based rpg semuanya perfect cuman kepada developer tambahin lagi fitur switching animation biar makin perfect 😁",suka tema story model turn based rpg perfect cuman developer tambah fitur switching animation biar perfect,-1
8578,Tolong loading game nya di cepetin ya yang lain nya bagus sekian,loading cepetin sekian,-1
8579,Game ya bagus sekali ada cara bermainnya bahasa ya pakai Inggris dan Jepang pokoknya ketagihan gamenya wkwwkw,main bahasa pakai inggris jepang pokok tagih wkwwkw,-1
8581,Bug gk bisa login padahal koneksi bagus² aja,bug login koneksi,-1
8582,"Saya tidak bisa memainkan game ini karena ketika masuk game, keluar sendiri dari game",main masuk,-1
8584,Gamenya bagus banyak menarik tetapi waktu gacha susah dapat character bintang 5 nya plis kasih aku character bintang 5 nickname aku xZoRz kalau aku dapet character bintang 5 yang bagus aku akan mainkan ini untuk selamanya dan aku akan selalu ikut event di game ini juga mungkin kalau aku dapat character bintang 5 yang bagus aku akan top up tetapi aku Player p2p jadi aku main gratisan dan yang terakhir kekurangan game ini tidak ada nya fitur telanjang kalau ada akan banyak pemain yang main ramai,tarik gacha susah character bintang character bintang nickname xzorz character bintang main event character bintang top player p p gratis kurang fitur telanjang main ramai,10
8585,Plis adain bagi hero B5 lagi dong yang pas Dr.Ratio belum download 😢,adakan hero b dr ratio download,-1
8586,"Game baik gak pelit,. grafis memukau pantas aja sering masuk 3 besar tiap bulannya..👍👍 Dan story juga mudah di pahami karna support bhs Indonesia..",pelit grafis pukau masuk bulan story mudah paham karna support bhs indonesia,-1
8587,Thanks hoyo udh bikinin game ini buat nemenin waktu gua 😌,hoyo bikinin nemenin,2
8589,Kecewa kenapa akun saya tiba tiba hilang/terhapus sendiri padahal gw off cuman berapa jam aja pas mau login kok ngulangin dari awal karakter saya semua nya hilang dm yang sudah saya beli buat Gacha hilang rugi banget sumpah tolong dia balikin dong mohon bantuan nya🙏,kecewa akun hilang hapus cuman jam login ngulangin karakter hilang dm beli gacha hilang rugi sumpah balikin bantu,-1
8591,tambah background download kayak genshin biar ga buka app terus🗿,background download genshin biar buka aplikasi,3
8592,"ini game bagus bgt dari segi grafik story sm karakter nya cakep""",segi grafik story karakter cakep,12
8593,"Overall gamenya bagus, cuman biaya upgrade peningkatan karakter level 70~80 terlalu tinggi Menurut saya, apalah nunggu Star blazenya full lama banget.",overall cuman biaya upgrade tingkat karakter level apa tunggu star blazenya full,-1
8594,Untuk pakaian nya... Mohon ditutup Karena membuat player berdosa Oleh karena itu saya beri bintang 1,pakai tutup player dosa bintang,-1
8597,Wow saya suka animenya,wow suka animenya,-1
8598,Meski gamenya cuman maju mundur dan ngantukin tapi aku tetep suka dengan game ini 🫶🏻,cuman maju mundur ngantukin tetep suka,-1
8599,"Bagus sebenarnya.... Tapi sayang sekali saat bertanding dengan musuh, harus berganti serangan. beda dengan genshin impact.",sayang tanding musuh ganti serang beda genshin impact,-1
8600,"Game jemb**, dh download nya lambat.....pas buka jg stengah jam gk kelar kelar......",jemb download lambat buka stengah jam kelar kelar,-1
8602,Hopefully the game will continue to develop in the future 😆💖,hopefully continue develop future,0
8603,Bagus tapi sekali aku main kok ngbug dinding kelihatan tembus jalannya kagak keliatan pokok nya Saat main itu ngbug kelihatan tembus pandang,ngbug dinding tembus jalan liat pokok ngbug tembus pandang,-1
8605,cara mainnya jelak banget genshin impact,main jelak genshin impact,-1
8606,Hei pembuat game aku berasal dari indonesia kamu bisa kan pakai indonesia aku protes sama kamu masa loading nya lama 😡😡😡😡😡😡😡😡👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻👎🏻 game ini membosan kan.,hei buat asal indonesia pakai indonesia protes loading bos,2
8607,"Bagus,tapi latar nya hitam.di loufu banyak yang nge bug tolong perbaik ya! 🙏",latar hitam loufu nge bug baik,-1
8608,Saya harap kedepannya ada HSR cloud juga seperti GI cloud,harap depan hsr cloud gi cloud,-1
8609,Game kikir bjirr💀,kikir bjirr,26
8611,"Mohon tambahan fitur ""Hapus File Terdahulu"" seperti Genshin Impact sehingga player yang progres game nya sudah jauh bisa dapat ruang penyimpanan lebih.",tambah fitur hapus file genshin impact player progres ruang simpan,3
8612,"Bgus bngt, dlu aku sempet pengen dpet Bailu tpi udh kesampean😍👍 fix harus download walaupun nguras memo🥲🙏",bgus sempet ken dpet bailu sampean fix download nguras memo,-1
8613,Tolong di perbaiki di bagian mengunduh datanya kenapa ada terus bacaan eror atau gagal padahal jaringan internet nya lancar sudah beberapa kali tapi tidak bisa saya harap bisa di perbaiki untuk masalah pengunduhan datanya,baik unduh data baca eror gagal jaring internet lancar kali harap baik unduh data,-1
8614,"Story lumayan, pasang surut di Xianzhou Loufu yang bosenin. Tapi, story Penacony bagus. Buat karakter & outfit bagus banget penggambaran karakter dan penceritaan karakter lumayan cuma kadang rusak gegara kehaluan para playernya. Buat cutscene, akhir2 ini bikin frame drop mulu. Tapi, apresiasi buat pilihan opsi terbaru yang bikin pengalaman battle jadi tambah smooth buat dihp kentang.",story lumayan pasang surut xianzhou loufu bosan story penacony karakter outfit gambar karakter cerita karakter lumayan kadang rusak gegara haluan playernya cutscene frame drop mulu apresiasi pilih opsi baru alam battle smooth dihp kentang,-1
8615,"Sejauh ini bagus, cuma masalah di boss aja kadang lama beresinnya bisa 20mnt-an saya termasuk player f2p juga btw, dan rewards hadiah banyakin juga yaa nih game ga pelit"" bansos juga haha",boss kadang resin mnt player f p btw rewards hadiah banyak yaa nih pelit bansos haha,-1
8616,"Game Yang Tidak Ada Yang Namanya Kikir, Game Ini Grafik Paling Bagus Dan Animasi Nya Bagus Bet",nama kikir grafik animasi bet,12
8617,"Tolong dong agar reward double diperbanyak, misalnya setiap hari minggu akan ada double reward untuk farming material",reward double banyak minggu double reward farming material,-1
8618,Gk nyangka sekarang stabil banget game nya👍 Padahal dulu pas awal rilis gw uninstall karna agak patah²,nyangka stabil rilis uninstall karna patah,-1
8619,Geme loading lama ngak supor hp kentang mau nya ap sih,loading supor kentang ap,-1
8621,"Game terbaik yang pernah kumainkan, mekanik gampang, game santai, event nya banyak, thank you papi hoyo, game yang sangat ku cipok",baik main mekanik mudah santai event papi hoyo ku cipok,-1
8622,Bisa dapet diamon gratis,diamon gratis,-1
8625,"Game nya sudah bagus tapi cepat sekali membuat device saya menjadi panas mohon untuk memperbaiki nya, Device poco x3 pro",cepat device panas baik device poco x pro,-1
8626,"Saya donlowd honkai, terus kan saya login Terus pas saya udh donlowd data gk terjadi Apa²tolong di perbaiki!",donlowd honkai login donlowd data baik,-1
8628,Tunggu saya beli hp baru saya comback,tunggu beli comback,30
8630,free,free,-1
8631,"Gw kambek bermain game, setelah lama tidak bermain.... Semoga makin bagus, dan gacha relic makin gacor Halo saya sudah kembali dan bermain selama 1 minggu dan gacha relicnya tetap saja AMPAS KONT",kambek main main moga gacha relic gacor halo main minggu gacha relicnya ampas kont,-1
8632,Game honkai star rail bagus dan banyak. Waifu canti,honkai star rail waifu canti,7
8635,Daimon gratis,daimon gratis,-1
8636,Makin update makin sering force close ya😭😭???,update force close,-1
8637,"Game nya bagus...cuma kalau ngasih misi jangan yang susah"" Apalagi untuk player pemula sprti sy...",misi susah player mula sprti,17
8638,Mantap hoyo game turnbase terbaik 👍🔥🔥,hoyo turnbase baik,-1
8640,"Woilahh bisa ga sih kasih gw menang anj,, gw capek coeg lawannya musuh padahal udh sekarat tapi gw malahan mati duluan,,,plsss lahhh gw capekjkk kntllll 😭🥺🥹",woilahh menang anj lelah coeg lawan musuh sekarat mati duluan plsss lahhh capekjkk kntllll,-1
8641,Tong sampah,tong sampah,-1
8642,ayolah level ujian equlibrium terlalu susah game ini memang harus top up kah,ayo level uji equlibrium susah top kah,-1
8644,🤑mbappe or musiala? Mbappe lah 130 jt an,mbappe musiala mbappe jt,22
8645,rusak tytyd game nya loding 10 tahun kaya nunggu dia balik aja,rusak tytyd loding kaya tunggu,21
8646,Patah patah jir HP gw 🗿,patah patah jir,-1
8647,Seru bangettttt,bangettttt,16
8648,bintang 5 nya nanti kalau menang rate off. MAKSISH AKU CINTA HOYO,bintang menang rate maksish cinta hoyo,21
8649,Dipke main di samsung kok lama ya tuh ngelag apa bkn? Dan pdhl wifi nya ada loh cmn tampilan fitur planet doang kaga ada apapa,dipke samsung tuh ngelag bkn pdhl wifi loh tampil fitur planet doang apapa,-1
8650,Game ya sangat seru dan menarik hd juga pun aplikasiya,tarik hd aplikasiya,-1
8651,Gimme yunli please,gimme yunli,-1
8652,"ngl, I play because Kafka",ngl kafka,27
8653,"Saya mau bertanya kenapa saya tidak bisa masuk ke dalam gamenya? Saya tidak memainkan game ini kuranglebih 2minggu karena sibuk memainkan game lain, tapi ketika saya login kembali saya tidak bisa masuk ke gamenya.",masuk main kuranglebih minggu sibuk main login masuk,-1
8654,tiap hari update 1Gb lebih mulu..!!!,update gb mulu,-1
8655,Karena menguduh sumber data nya gak cepat dan lama banget dek jam1 sampai jam 2 nek orak 3,uduh sumber data cepat dek jam jam nek orak,-1
8656,Lebih bagus dari kikir impek,kikir impek,26
8657,"Seru banget guys, bisa main santai, storynya bagus, menarik, bikin penasaran mulu, mekaniknya ga bosenin",guys santai storynya tarik penasaran mulu mekanik bosan,-1
8659,"Kenapa ya kalo lagi loading suka ngeleg banget, tapi kalo pas main suka lancar",loading suka ngeleg suka lancar,-1
8660,i love cute character unique gameplay and story,cute character unique story,-1
8661,Peaknacony is the best so far,peaknacony far,-1
8662,"Game baik, wajib anda mainkan",wajib main,-1
8663,"Menurutku gameplay-nya bagus GK bikin bosen,cuma untuk gacha Hero semoga yg udh rilis bisa di gacha kembali seperti kemarin event firefly,soalnya blum dapet semoga saja kembali di rilis di gacha",turut bosan gacha hero moga rilis gacha kemarin event firefly moga rilis gacha,-1
8664,gacoorr sekarang teruskan,gacoorr terus,-1
8665,Game nya bagus cuma loading nya lama tapi selain itu semuanya bagus tapi tolong diperbaiki kadang masih ada bug nya,loading baik kadang bug,-1
8666,5 for the cuality and the caracter but the loading take me like over 2-4 hours so 4 and the laggy,cuality caracter loading take hours laggy,-1
8667,Dapat dm ml yay,dm ml yay,-1
8668,"Akun aku hilang, pret",akun hilang pret,-1
8669,"Story grafik desain semua oke, cuman gw nya aja ngantuk main turnbase untungnya bisa di auto jadi ga khawatir kalo ketiduran. Minus nya auto rada bodoh cara main nya",story grafik desain cuman ngantuk turnbase untung auto khawatir tidur minus auto rada bodoh,-1
8670,Coman 1 masalah nya bg hoyo ya itu adalah sering kali saat ingin masuk ke gemr nya layar saya jadi warna hitam,coman bang hoyo kali masuk gemr layar warna hitam,-1
8671,SERU BUANGET IH ANJIR AHAHHAHA,buanget ih anjir ahahhaha,-1
8672,Setelah di update malah g jelas... loading ny lama...Taiiii tau gak Taiiiiiiiiii,update loading taiiii tau taiiiiiiiiii,-1
8673,Pen ngunduh hanyah lama padahal wifi nyah lancar,pen ngunduh hanyah wifi lancar,-1
8674,Terlalu lama mengunduh data di dalam aplikasi udah lama nunggu udah abis data 4gb masih belum bisa terbuka terpaksa harus di hapus dulu min.,unduh data aplikasi tunggu abis data gb buka paksa hapus,31
8678,Cepat beri bansos 10000000000000 Jade aku mw acheron e6 gratis,cepat bansos jade acheron e gratis,-1
8679,"Game dengan sistem gacha terparah. Selain gacha karakternya yang parah, relic dan sistem mekanik gamenya juga harus gacha dan itu pun harus untung untungan juga dapat yang bagusnya.",sistem gacha parah gacha karakter parah relic sistem mekanik gacha untung untung bagus,-1
8680,Game nya kok ngebug ngebug texture nya kelap kelip,bug bug texture kelap kelip,-1
8682,Tolong kasih fitur hapus quest terdahulu supaya size game tidak terlalu besar.,fitur hapus quest size,3
8684,"Gameplay nya seru,story nya bagus,dan pengembangan mc nya itu bagus banget Dan tolong kasih gua rate on di banner 2.4 phase 2",story kembang mc rate banner phase,12
8685,Keren (tambahin mulplayer),tambah mulplayer,5
8686,"Jadi sering force close dan ngedrop, padahal sebelum update permainan lebih lancar.",force close ngedrop update main lancar,-1
8688,cuih,cuih,4
8689,Game elek,elek,-1
8690,"Bansos nya banyak, gak kikir kayak kakanya. I love this game so much 🫶😭",bansos kikir kakanya much,8
8691,tambahin fitur duduk di next update,tambah fitur duduk next update,3
8694,PEAK IT IS BECAME MORE PEAK PLS GIVE US MORE JADES,peak became peak give us jades,0
8695,"Game yang sangat kompleks dan tidak membosankan,tidak pelit juga membagikan jade dan tiket gacha, terimakasih telah menciptakan game yang bisa dinikmati oleh semua pemain semoga kedepannya akan semakin lebih baik.",kompleks bosan pelit bagi jade tiket gacha cipta nikmat main moga depan,17
8696,"Bisa dimainkan pakek controller di hp, mantap abangkuhhhhhh",main pakek controller abangkuhhhhhh,-1
8698,"Pengumpulan material cukup susah, padahal saya sudah berada di level equilibrium level 5",kumpul material susah level equilibrium level,-1
8699,Selain bagus bisa dapet DM gratis di mobile lenges,dm gratis mobile lenges,-1
8701,Gamenya burik loadingnya lama banget bikin kuota gw cepet abis aja,burik loadingnya kuota cepet abis,-1
8702,Pada tahun yang tergolong familia Cerambycidae by Tulus mencinta lagi ke Facebook pernah bisa akan menjadi lebih dari ordo Diptera cinta dan kingdom Animalia pada tahun ini juga dapat menyebabkan kerusakan pada tanggal lahir dari ordo Coleoptera mau aku mau aku akan menjadi pemenang semakin besar untuk berubah adalah dengan orang yang tergolong dalam kayu yang tergolong familia Cerambycidae nya ya kak Joewita akan menjadi lebih dari genus Onthophagus dan kingdom akan menjadi pemenang semakin ber,golong familia cerambycidae tulus cinta facebook ordo diptera cinta kingdom animalia sebab rusa tanggal lahir ordo coleoptera menang ubah orang golong kayu golong familia cerambycidae joewita genus onthophagus kingdom menang ber,10
8703,"@hoyoverse game ini sangat bagus, tapi saya ingin mengkoleksi semua karakter, saya akan bermain game ini sampai saya kuliah, saya janji, tidak akan saya hapus game favorit saya, dan terimakasih hoyoverse untuk membuat game ini, saya setia bersama hoyoverse, dan saya akan beritahu ke semua orang yang belum pernah memainkank game ini aku janji, sayang saya tidak bisa memberi stiker pom-pom ke rating, itu saja dari saya ratingnya, semoga game ini selalu bertahan tahun ke tahun, itu terimakasih.",koleksi karakter main kuliah janji hapus favorit setia beritahu orang memainkank janji sayang stiker pom pom rating ratingnya moga tahan,10
8706,Login nya kelamaan terus tiba² ngelng padahal jaringan baik baik aja dan ngebung juga tolong diperbaiki ya🙏🏻,login ngelng jaring ngebung baik,-1
8708,Gak tau kenapa gamenyange ngestuck di loading screen.Pls developer benerin,tau gamenyange ngestuck loading screen developer benerin,-1
8709,Untuk berubah menjadi,ubah,-1
8711,Game ini menarik! Dan akan lebih menarik lagi kalau ada sistem cloud khusus game dari mihoyo!,tarik tarik sistem cloud khusus mihoyo,-1
8712,Ppu,ppu,-1
8713,Sama seperti genshin tapi rpg👍,genshin rpg,-1
8715,Aplikasi jelek,aplikasi jelek,-1
8716,Bagus suh tapi slit misinya gak ngerti,suh slit misi ngerti,-1
8717,"Udah ngunduh nya lama sampai 1 jam kuota gue dari 6,5gb tinggal 1,5gb udah beres ngunduh nya malah login. Nya lama lagi di tungguin sampe setengah jam masih blom bisa main game apa ini perbaki lah ini game login. Nya lama",ngunduh jam kuota gb tinggal gb beres ngunduh login tungguin sampe jam baki login,-1
8718,"Aku kalah rate of lagi, ku kasih bintang 1 pokoknya",kalah rate ku bintang pokok,21
8720,"Game nya Uda bagus banget, cuman 1 tolong lah musuhnya itu loh terlalu over power, di peringanan aja dikit",uda cuman musuh loh power ringan dikit,-1
8721,"Akun saya hilang bang, udah lapor malah tidak ditanggapi mengsedih 🥲",akun hilang bang lapor tanggap mengsedih,-1
8722,saya sangat berterimakasih kepada honkai karena setiap saya buka honkai pasti saya mengantuk dan saya jadi bisa untuk tidur sebentar dan beristirahat bermain hp😈🙏,berterimakasih honkai buka honkai antuk tidur sebentar istirahat main,-1
8723,Nice saya sekarang dapet karakter bintang 5,karakter bintang,-1
8724,"Sejauh ini gw puas sama aplikasi ini, gak ada bug dan gak lag, meskipun loading masuk gamenya sudah frame drop, tetapi kalau soal pengalaman bermain sudah lancar 60fps,😊😊",puas aplikasi bug lag loading masuk frame drop alam main lancar fps,-1
8725,Maf Turun Bintang... ram 8 / 128 sd 7 sudah ga kuat main gems ini,maf turun bintang ram sd kuat gems,-1
8726,I LOVE BLACK SWAN SO MUCH ♥️,black swan much,-1
8727,"eventnya kurang banyak, jadi kek boring aja",eventnya boring,-1
8729,Game Baik 🥰🥰 baru main aja sudah banyak bansos dan sudah punya Jande & Yunli 😘😘,bansos jande yunli,-1
8731,Kok game nya udah lama loding banyak terkuras kuta sampai 4 GB,loding kuras kuta gb,-1
8732,Bahan+auto+musuh+tim masalah semua,bahan auto musuh tim,-1
8733,Bansosnya tambahin,bansosnya tambah,8
8734,tolong camtumkan versi androin nya di website nya seperti game game level infinite. agar saya tidak perlu login ke play store,camtumkan versi androin website level infinite login store,-1
8735,"Bagus,tapi loading nya agak lama,sama pas dimainkan itu agak ngeleg dikit tapi gpp game ini udah bagus banget si menurut gw,",loading main ngeleg dikit gpp,-1
8736,"Game banyak ngebak baru juga download udah banyak banget masalahnya, salah satunya hilangnya kursurnya",ngebak download salah satu hilang kursurnya,32
8737,"Storynya Bagus, tidak ngelag, antialiansing bisa diatur, Animasi yang tidak minim, efect yang bagus, terdapat berbagai subtitle, terdapat berbagai dub, Map yang cukup mendetail, pencahayaan yang bagus, serta Animasi Video yang smooth dan menegangkan",storynya ngelag antialiansing atur animasi minim efect subtitle dub map detail cahaya animasi video smooth tegang,-1
8738,"gAme bOHong, KatAnya aDa blUe arCHIve, maNA coK gAk rISPek WOK 😠😠😠😠",bohong blue archive cok rispek wok,-1
8739,Tolong untuk misi trailblaze nya di sesuaikan menurut ku terlalu lama dan itu hanya singkat,misi trailblaze sesuai ku singkat,-1
8743,sparkle is very beautiful and cute,sparkle beautiful cute,9
8744,"The game is very cool, but can you add skins to each path for Trailblazer? That would definitely be a lot of fun",cool add skins path trailblazer would definitely lot fun,0
